temp,game,acc,episodes,path
00,cladder,615.287,91008,results_Meta_Llama_3_1_8B_Instruct_t00_cladder
00,eqbench,786.603,1539,results_Meta_Llama_3_1_8B_Instruct_t00_eqbench
00,guesswhat,329.356,796,results_Meta_Llama_3_1_8B_Instruct_t00_guesswhat
00,imagegame,2855.564,885,results_Meta_Llama_3_1_8B_Instruct_t00_imagegame
00,matchit_ascii,1939.205,360,results_Meta_Llama_3_1_8B_Instruct_t00_matchit_ascii
00,mmlu_pro,362.544,108288,results_Meta_Llama_3_1_8B_Instruct_t00_mmlu_pro
00,referencegame,1159.658,1170,results_Meta_Llama_3_1_8B_Instruct_t00_referencegame
00,taboo,344.970,660,results_Meta_Llama_3_1_8B_Instruct_t00_taboo
00,textmapworld,803.968,750,results_Meta_Llama_3_1_8B_Instruct_t00_textmapworld
00,textmapworld_graphreasoning,1028.793,480,results_Meta_Llama_3_1_8B_Instruct_t00_textmapworld_graphreasoning
00,textmapworld_specificroom,1368.864,480,results_Meta_Llama_3_1_8B_Instruct_t00_textmapworld_specificroom
00,wordle,135.566,300,results_Meta_Llama_3_1_8B_Instruct_t00_wordle
00,wordle_withclue,249.113,300,results_Meta_Llama_3_1_8B_Instruct_t00_wordle_withclue
00,wordle_withcritic,155.040,420,results_Meta_Llama_3_1_8B_Instruct_t00_wordle_withcritic
02,cladder,618.363,91008,results_Meta_Llama_3_1_8B_Instruct_t02_cladder
02,eqbench,781.079,1539,results_Meta_Llama_3_1_8B_Instruct_t02_eqbench
02,guesswhat,273.445,793,results_Meta_Llama_3_1_8B_Instruct_t02_guesswhat
02,imagegame,2673.978,885,results_Meta_Llama_3_1_8B_Instruct_t02_imagegame
02,matchit_ascii,1868.182,360,results_Meta_Llama_3_1_8B_Instruct_t02_matchit_ascii
02,mmlu_pro,355.857,108288,results_Meta_Llama_3_1_8B_Instruct_t02_mmlu_pro
02,referencegame,1110.256,1170,results_Meta_Llama_3_1_8B_Instruct_t02_referencegame
02,taboo,331.938,660,results_Meta_Llama_3_1_8B_Instruct_t02_taboo
02,textmapworld,727.721,750,results_Meta_Llama_3_1_8B_Instruct_t02_textmapworld
02,textmapworld_graphreasoning,1051.905,480,results_Meta_Llama_3_1_8B_Instruct_t02_textmapworld_graphreasoning
02,textmapworld_specificroom,1475.673,480,results_Meta_Llama_3_1_8B_Instruct_t02_textmapworld_specificroom
02,wordle,143.991,300,results_Meta_Llama_3_1_8B_Instruct_t02_wordle
02,wordle_withclue,163.401,300,results_Meta_Llama_3_1_8B_Instruct_t02_wordle_withclue
02,wordle_withcritic,168.394,420,results_Meta_Llama_3_1_8B_Instruct_t02_wordle_withcritic
04,cladder,616.715,91008,results_Meta_Llama_3_1_8B_Instruct_t04_cladder
04,eqbench,782.500,1539,results_Meta_Llama_3_1_8B_Instruct_t04_eqbench
04,guesswhat,316.000,788,results_Meta_Llama_3_1_8B_Instruct_t04_guesswhat
04,imagegame,2303.228,885,results_Meta_Llama_3_1_8B_Instruct_t04_imagegame
04,matchit_ascii,1834.483,360,results_Meta_Llama_3_1_8B_Instruct_t04_matchit_ascii
04,mmlu_pro,346.016,108288,results_Meta_Llama_3_1_8B_Instruct_t04_mmlu_pro
04,referencegame,1143.761,1170,results_Meta_Llama_3_1_8B_Instruct_t04_referencegame
04,taboo,336.001,660,results_Meta_Llama_3_1_8B_Instruct_t04_taboo
04,textmapworld,904.141,750,results_Meta_Llama_3_1_8B_Instruct_t04_textmapworld
04,textmapworld_graphreasoning,1080.566,480,results_Meta_Llama_3_1_8B_Instruct_t04_textmapworld_graphreasoning
04,textmapworld_specificroom,1550.219,480,results_Meta_Llama_3_1_8B_Instruct_t04_textmapworld_specificroom
04,wordle,146.724,300,results_Meta_Llama_3_1_8B_Instruct_t04_wordle
04,wordle_withclue,143.179,300,results_Meta_Llama_3_1_8B_Instruct_t04_wordle_withclue
04,wordle_withcritic,81.057,420,results_Meta_Llama_3_1_8B_Instruct_t04_wordle_withcritic
07,matchit_ascii,1971.348,360,results_Meta_Llama_3_1_8B_Instruct_t07_matchit_ascii
07,referencegame,1254.017,1170,results_Meta_Llama_3_1_8B_Instruct_t07_referencegame
07,taboo,317.730,660,results_Meta_Llama_3_1_8B_Instruct_t07_taboo
