model,game,split,episode,success,main_score
llama3-8b-sft-playpen-t0.0,taboo,2_low_en,episode_7,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,2_low_en,episode_12,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,2_low_en,episode_19,1,100.0
llama3-8b-sft-playpen-t0.0,taboo,2_low_en,episode_3,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,2_low_en,episode_6,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,2_low_en,episode_11,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,2_low_en,episode_2,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,2_low_en,episode_17,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,2_low_en,episode_5,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,2_low_en,episode_4,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,2_low_en,episode_10,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,2_low_en,episode_1,1,100.0
llama3-8b-sft-playpen-t0.0,taboo,2_low_en,episode_18,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,2_low_en,episode_13,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,2_low_en,episode_15,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,2_low_en,episode_0,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,2_low_en,episode_14,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,2_low_en,episode_16,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,2_low_en,episode_9,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,2_low_en,episode_8,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,0_high_en,episode_7,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,0_high_en,episode_12,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,0_high_en,episode_19,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,0_high_en,episode_3,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,0_high_en,episode_6,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,0_high_en,episode_11,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,0_high_en,episode_2,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,0_high_en,episode_17,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,0_high_en,episode_5,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,0_high_en,episode_4,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,0_high_en,episode_10,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,0_high_en,episode_1,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,0_high_en,episode_18,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,0_high_en,episode_13,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,0_high_en,episode_15,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,0_high_en,episode_0,1,100.0
llama3-8b-sft-playpen-t0.0,taboo,0_high_en,episode_14,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,0_high_en,episode_16,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,0_high_en,episode_9,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,0_high_en,episode_8,0,nan
llama3-8b-sft-playpen-t0.0,taboo,1_medium_en,episode_7,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,1_medium_en,episode_12,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,1_medium_en,episode_19,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,1_medium_en,episode_3,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,1_medium_en,episode_6,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,1_medium_en,episode_11,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,1_medium_en,episode_2,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,1_medium_en,episode_17,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,1_medium_en,episode_5,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,1_medium_en,episode_4,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,1_medium_en,episode_10,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,1_medium_en,episode_1,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,1_medium_en,episode_18,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,1_medium_en,episode_13,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,1_medium_en,episode_15,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,1_medium_en,episode_0,1,100.0
llama3-8b-sft-playpen-t0.0,taboo,1_medium_en,episode_14,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,1_medium_en,episode_16,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,1_medium_en,episode_9,0,0.0
llama3-8b-sft-playpen-t0.0,taboo,1_medium_en,episode_8,0,0.0
